Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1973,.28,.33,.29,.27,.22,.19,.12,.05,.09,.10,.05,-.06,.16,.18,.26,.26,.12,.08
1974,-.11,-.27,-.05,-.11,-.04,-.05,-.03,.11,-.08,-.06,-.07,-.08,-.07,-.07,-.15,-.07,.01,-.07
1975,.10,.08,.12,.04,.16,-.01,-.01,-.17,-.03,-.12,-.17,-.17,-.01,-.01,.03,.11,-.06,-.10
1976,-.03,-.06,-.22,-.07,-.21,-.13,-.10,-.12,-.07,-.24,-.06,.11,-.10,-.12,-.09,-.16,-.12,-.12
1977,.18,.23,.25,.27,.33,.27,.20,.18,.02,.03,.16,.03,.18,.18,.17,.28,.22,.07
1978,.06,.10,.19,.17,.09,-.01,.04,-.13,.06,.03,.14,.08,.07,.06,.06,.15,-.03,.08
1979,.08,-.10,.19,.15,.03,.14,.04,.17,.25,.25,.29,.48,.16,.13,.02,.12,.11,.26
1980,.30,.40,.30,.30,.35,.20,.22,.18,.20,.13,.29,.22,.26,.28,.39,.32,.20,.21
1981,.52,.42,.48,.32,.25,.29,.32,.35,.15,.12,.23,.41,.32,.31,.39,.35,.32,.17
1982,.05,.16,.03,.15,.18,.06,.14,.03,.13,.13,.17,.42,.14,.14,.20,.12,.08,.15
1983,.53,.43,.41,.28,.33,.22,.18,.35,.37,.16,.30,.17,.31,.33,.46,.34,.25,.28
1984,.31,.14,.26,.06,.32,.02,.19,.19,.21,.14,.07,-.04,.16,.17,.21,.21,.13,.14
1985,.22,-.04,.17,.12,.14,.15,.04,.16,.13,.11,.05,.13,.12,.10,.05,.15,.12,.10
1986,.27,.37,.30,.22,.21,.12,.11,.15,.03,.15,.11,.14,.18,.18,.26,.24,.13,.10
1987,.32,.43,.18,.24,.25,.34,.40,.24,.35,.32,.29,.46,.32,.29,.30,.23,.33,.32
1988,.57,.44,.51,.42,.43,.40,.32,.39,.36,.37,.12,.28,.38,.40,.49,.46,.37,.28
1989,.12,.30,.36,.29,.17,.16,.34,.33,.35,.29,.19,.37,.27,.26,.23,.27,.28,.28
1990,.41,.43,.79,.56,.45,.39,.46,.34,.23,.45,.46,.41,.45,.45,.40,.60,.40,.38
1991,.42,.50,.35,.51,.34,.53,.47,.40,.44,.28,.29,.32,.40,.41,.44,.40,.46,.34
1992,.47,.41,.47,.27,.30,.25,.08,.08,-.01,.06,.03,.21,.22,.23,.40,.35,.14,.03
1993,.34,.37,.36,.27,.28,.23,.25,.11,.11,.23,.04,.18,.23,.23,.31,.30,.19,.13
1994,.26,.02,.30,.40,.28,.43,.30,.22,.32,.41,.44,.38,.31,.30,.15,.33,.32,.39
1995,.51,.79,.47,.46,.28,.42,.45,.46,.33,.47,.44,.25,.45,.46,.56,.40,.44,.42
1996,.23,.47,.33,.32,.28,.25,.36,.48,.24,.20,.39,.37,.33,.32,.32,.31,.37,.28
1997,.30,.41,.52,.35,.36,.54,.34,.43,.52,.60,.64,.58,.46,.45,.36,.41,.43,.59
1998,.58,.88,.63,.64,.67,.76,.68,.66,.42,.43,.44,.56,.61,.61,.68,.65,.70,.43
1999,.49,.65,.32,.33,.28,.36,.38,.32,.38,.34,.37,.41,.39,.40,.56,.31,.35,.37
2000,.25,.56,.55,.57,.35,.39,.38,.42,.40,.27,.31,.28,.40,.41,.41,.49,.40,.32
2001,.46,.44,.56,.51,.58,.52,.59,.50,.52,.51,.73,.56,.54,.52,.39,.55,.54,.58
2002,.77,.79,.88,.58,.63,.53,.60,.53,.62,.54,.59,.43,.62,.64,.71,.70,.55,.59
2003,.75,.59,.59,.55,.61,.48,.58,.65,.63,.73,.53,.75,.62,.59,.59,.59,.57,.63
2004,.58,.73,.63,.61,.39,.44,.26,.47,.51,.61,.73,.50,.54,.56,.69,.54,.39,.62
2005,.74,.60,.74,.68,.63,.65,.62,.62,.71,.75,.74,.68,.68,.66,.62,.68,.63,.73
2006,.56,.73,.63,.49,.49,.65,.55,.71,.65,.69,.73,.79,.64,.63,.66,.54,.64,.69
2007,1.01,.70,.72,.75,.68,.61,.60,.60,.60,.59,.58,.49,.66,.69,.83,.72,.60,.59
2008,.30,.38,.74,.53,.49,.49,.60,.47,.61,.65,.69,.54,.54,.54,.39,.59,.52,.65
2009,.65,.54,.54,.60,.66,.65,.71,.68,.73,.66,.80,.67,.66,.65,.58,.60,.68,.73
2010,.75,.84,.91,.84,.76,.68,.64,.66,.63,.71,.82,.45,.72,.74,.75,.84,.66,.72
2011,.52,.48,.64,.65,.52,.61,.70,.73,.58,.66,.59,.60,.61,.59,.48,.60,.68,.61
2012,.49,.49,.57,.71,.77,.65,.58,.64,.71,.78,.79,.53,.64,.65,.53,.68,.62,.76
2013,.71,.63,.67,.56,.61,.70,.61,.70,.77,.69,.85,.70,.68,.67,.62,.62,.67,.77
2014,.76,.55,.79,.81,.85,.67,.59,.80,.84,.79,.67,.80,.74,.74,.67,.82,.69,.77
2015,.86,.90,.96,.77,.79,.81,.74,.82,.84,1.08,1.06,1.16,.90,.87,.85,.84,.79,.99
2016,1.17,1.37,1.36,1.12,.95,.81,.84,1.01,.91,.87,.90,.85,1.01,1.04,1.23,1.14,.89,.90
2017,1.03,1.13,1.15,.93,.90,.72,.82,.86,.79,.90,.88,.94,.92,.91,1.01,.99,.80,.86
2018,.82,.84,.89,.89,.82,.78,.82,.76,.81,1.00,.82,.91,.85,.85,.87,.87,.79,.88
2019,.93,.94,1.17,1.01,.86,.92,.93,.93,.90,***,***,***,***,***,.93,1.02,.93,***
